town,county,acs_year,acs_population,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,mvp_priority_lane,key_drivers,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,hazard_overlay_status
Fayette,Kennebec,2024,1383,39.29,59.21,43.94,32.11,50.81,monitor and screen after hazard-layer ingestion,renter cost burden; long commutes; seasonal housing pressure; older adults,36.54,46.77,7.88,2.42,37.24,20.67,15.69,24.91,26.8,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Livermore,Androscoggin,2024,1868,39.28,54.99,35.63,34.75,42.21,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; long commutes; children/family demand,33.79,75.0,8.04,2.16,24.79,15.85,17.02,16.19,22.3,0.36,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Moro,Aroostook,2024,10,39.27,41.0,73.0,43.53,43.61,equity and recovery-capacity priority,zero-car households; older adults; seasonal housing pressure; disability,0.0,0.0,20.0,25.0,90.0,30.0,0.0,33.33,0.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Parsonsfield,York,2024,1715,39.26,69.28,38.91,24.92,55.99,monitor and screen after hazard-layer ingestion,renter cost burden; long commutes; housing cost burden; seasonal housing pressure,42.65,78.16,12.04,4.04,17.96,14.55,25.01,27.38,58.57,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Cornish,York,2024,1803,39.2,57.34,34.9,27.68,47.03,monitor and screen after hazard-layer ingestion,long commutes; renter cost burden; housing cost burden; children/family demand,42.96,48.8,6.27,4.85,17.42,16.25,18.19,11.01,32.62,1.35,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Stonington,Hancock,2024,840,39.18,51.62,53.7,42.19,44.96,monitor and screen after hazard-layer ingestion,seasonal housing pressure; disability; older adults; housing cost burden,28.57,20.78,10.83,6.11,38.45,28.81,10.12,34.62,6.73,2.74,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Brownville,Piscataquis,2024,983,39.12,58.0,52.41,24.94,56.05,monitor and screen after hazard-layer ingestion,long commutes; poverty; seasonal housing pressure; housing cost burden,31.53,26.19,18.31,10.4,28.08,16.89,19.02,21.62,37.46,0.64,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Webster,Penobscot,2024,85,39.1,30.99,55.24,41.3,34.34,monitor and screen after hazard-layer ingestion,poverty; disability; long commutes; zero-car households,9.76,0.0,31.76,8.33,14.12,29.41,3.53,4.0,14.29,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Merrill,Aroostook,2024,372,39.06,52.26,25.0,40.77,31.92,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; housing cost burden; long commutes,36.21,60.0,5.65,2.4,13.98,8.06,41.67,11.18,13.22,0.8,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
New Portland,Somerset,2024,686,39.03,68.39,41.46,29.27,54.11,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; long commutes; children/family demand,29.69,94.74,14.47,9.88,17.64,12.68,23.18,33.91,24.18,1.54,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Litchfield,Kennebec,2024,3680,39.02,49.16,29.03,46.1,33.46,monitor and screen after hazard-layer ingestion,housing cost burden; renter cost burden; seasonal housing pressure; children/family demand,37.87,32.0,4.27,3.95,19.08,11.98,17.58,18.61,11.67,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Canaan,Somerset,2024,2063,38.92,46.89,39.3,35.87,37.7,monitor and screen after hazard-layer ingestion,children/family demand; housing cost burden; long commutes; poverty,32.69,24.27,12.92,5.99,18.81,14.2,22.2,10.41,18.47,0.67,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Clinton,Kennebec,2024,3385,38.85,38.46,31.34,41.98,29.46,monitor and screen after hazard-layer ingestion,renter cost burden; disability; long commutes; housing cost burden,24.94,79.31,2.57,2.01,21.39,23.37,15.1,0.86,17.7,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Bradley,Penobscot,2024,1645,38.68,35.48,29.53,49.87,21.3,monitor and screen after hazard-layer ingestion,children/family demand; renter cost burden; housing cost burden; disability,27.68,31.31,4.56,2.02,19.51,17.36,21.88,3.95,3.33,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
