town,county,acs_year,acs_population,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,mvp_priority_lane,key_drivers,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,hazard_overlay_status
Masardis,Aroostook,2024,258,31.77,57.09,29.66,22.45,50.9,monitor and screen after hazard-layer ingestion,renter cost burden; long commutes; seasonal housing pressure; housing cost burden,23.3,66.67,11.24,0.97,14.34,12.4,9.3,30.46,33.92,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Parkman,Piscataquis,2024,896,31.31,40.75,41.88,24.38,48.42,monitor and screen after hazard-layer ingestion,long commutes; seasonal housing pressure; children/family demand; housing cost burden,27.4,4.44,13.31,5.81,19.87,16.87,19.42,21.1,30.0,5.12,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Steuben,Washington,2024,1388,31.25,47.99,34.26,25.98,49.68,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; housing cost burden; children/family demand,30.82,26.32,5.44,4.67,15.92,18.23,20.39,28.11,26.8,8.48,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Alexander,Washington,2024,553,31.17,35.83,33.6,45.88,30.81,monitor and screen after hazard-layer ingestion,seasonal housing pressure; disability; children/family demand; housing cost burden,22.37,0.0,6.64,5.15,18.44,19.82,18.08,35.17,1.68,0.43,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Weld,Franklin,2024,459,31.08,35.17,46.81,37.92,41.15,monitor and screen after hazard-layer ingestion,seasonal housing pressure; older adults; disability; children/family demand,24.85,0.0,6.54,0.0,44.44,27.89,17.86,69.13,11.48,2.63,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Baldwin,Cumberland,2024,1170,30.98,36.69,29.58,30.76,38.1,monitor and screen after hazard-layer ingestion,long commutes; housing cost burden; older adults; seasonal housing pressure,29.72,16.67,6.42,0.38,27.69,9.57,12.14,15.14,27.15,0.57,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Vienna,Kennebec,2024,536,30.98,51.26,37.32,24.06,53.31,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; renter cost burden; poverty,22.83,28.57,13.25,1.23,20.52,16.98,15.11,40.6,37.36,1.23,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Upton,Oxford,2024,91,30.92,40.58,33.15,39.78,33.1,seasonal-market pressure and year-round housing review,older adults; seasonal housing pressure; housing cost burden; disability,41.67,0.0,0.0,1.43,80.22,6.59,0.0,66.96,4.35,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Jefferson,Lincoln,2024,2647,30.91,49.22,24.34,33.33,42.13,seasonal-market pressure and year-round housing review,seasonal housing pressure; children/family demand; long commutes; housing cost burden,31.54,29.82,3.39,1.17,18.66,10.06,28.03,34.4,21.05,1.48,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Reed,Aroostook,2024,105,30.85,36.41,47.39,24.01,48.27,monitor and screen after hazard-layer ingestion,long commutes; disability; seasonal housing pressure; zero-car households,24.49,0.0,9.52,12.73,24.76,25.71,2.86,20.0,45.45,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
South Oxford UT,Oxford,2024,561,30.78,44.68,36.23,32.03,46.26,seasonal-market pressure and year-round housing review,seasonal housing pressure; long commutes; housing cost burden; children/family demand,36.0,0.0,8.2,3.69,24.6,14.62,16.76,41.36,25.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Cutler,Washington,2024,492,30.71,33.97,42.99,32.19,41.47,monitor and screen after hazard-layer ingestion,children/family demand; seasonal housing pressure; long commutes; disability,21.23,0.0,10.98,4.44,30.08,21.34,25.2,23.64,21.72,0.89,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Ripley,Somerset,2024,436,30.57,40.26,34.72,33.85,39.71,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; disability; children/family demand,20.22,11.54,11.89,2.5,17.66,16.28,16.28,28.83,17.05,1.5,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Vanceboro,Washington,2024,122,30.47,49.23,46.27,16.37,55.94,seasonal-market pressure and year-round housing review,long commutes; seasonal housing pressure; housing cost burden; older adults,42.62,0.0,10.66,4.05,40.16,12.3,4.1,30.0,47.46,4.05,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Pleasant Ridge,Somerset,2024,87,30.46,36.38,60.09,25.93,57.33,equity and recovery-capacity priority,older adults; disability; seasonal housing pressure; long commutes,17.24,0.0,13.79,0.0,63.22,37.93,2.3,48.78,27.27,9.52,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Shapleigh,York,2024,2976,30.33,46.21,27.93,32.41,44.21,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; children/family demand; renter cost burden,25.64,27.27,5.31,1.14,24.09,11.96,20.67,43.2,25.4,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Greenwood,Oxford,2024,781,30.26,51.08,34.11,23.64,51.95,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; renter cost burden; housing cost burden,27.0,29.03,8.68,3.17,23.94,13.96,12.42,56.46,38.51,0.58,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
The Forks,Somerset,2024,92,30.12,40.9,63.94,16.76,64.94,equity and recovery-capacity priority,seasonal housing pressure; poverty; long commutes; older adults,7.5,0.0,23.91,5.66,41.3,20.65,11.96,76.44,27.63,20.75,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Otis,Hancock,2024,705,29.96,51.92,28.5,25.2,50.1,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; renter cost burden; housing cost burden,26.57,35.71,7.8,1.02,20.85,10.73,16.6,56.99,54.62,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Codyville UT,Washington,2024,14,29.95,27.08,34.03,44.03,24.8,monitor and screen after hazard-layer ingestion,older adults; seasonal housing pressure; housing cost burden; disability,27.27,0.0,0.0,0.0,85.71,14.29,0.0,23.81,0.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Deblois,Washington,2024,148,29.75,35.96,35.84,30.27,40.54,monitor and screen after hazard-layer ingestion,long commutes; seasonal housing pressure; housing cost burden; disability,31.25,0.0,8.78,0.0,25.68,17.57,8.11,22.62,24.62,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Talmadge,Washington,2024,67,29.71,16.63,33.91,44.52,25.62,monitor and screen after hazard-layer ingestion,children/family demand; disability; poverty; zero-car households,0.0,0.0,10.45,8.82,16.42,14.93,17.91,10.53,6.45,8.82,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Winterville,Aroostook,2024,248,29.54,34.3,32.2,43.01,34.0,monitor and screen after hazard-layer ingestion,seasonal housing pressure; children/family demand; older adults; housing cost burden,20.62,0.0,6.85,3.57,30.65,10.48,24.19,54.28,8.0,1.79,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Woodstock,Oxford,2024,1233,29.34,36.54,35.22,37.02,38.54,monitor and screen after hazard-layer ingestion,seasonal housing pressure; children/family demand; disability; older adults,20.09,0.0,11.54,0.42,23.28,16.83,20.52,50.45,15.07,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Kingsbury,Piscataquis,2024,17,29.26,35.0,65.0,20.2,57.55,equity and recovery-capacity priority,poverty; older adults; disability; seasonal housing pressure,0.0,0.0,41.18,0.0,82.35,41.18,0.0,85.44,33.33,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Beddington,Washington,2024,38,29.04,36.0,45.95,30.44,51.7,seasonal-market pressure and year-round housing review,disability; seasonal housing pressure; long commutes; older adults,35.0,0.0,0.0,0.0,47.37,44.74,0.0,92.05,33.33,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Sweden,Oxford,2024,537,29.02,46.4,33.9,25.18,49.85,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; children/family demand; poverty,27.11,8.33,14.71,0.0,20.3,7.45,21.79,34.6,28.97,3.91,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Aurora,Hancock,2024,132,28.98,46.85,42.27,19.37,53.24,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; children/family demand; disability,10.64,33.33,15.15,0.0,27.27,23.48,26.52,41.18,39.13,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Sandy River,Franklin,2024,90,28.96,29.75,41.73,40.42,33.36,monitor and screen after hazard-layer ingestion,older adults; seasonal housing pressure; poverty; disability,9.76,0.0,11.11,0.0,54.44,14.44,5.56,82.08,4.76,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Woodville,Penobscot,2024,198,28.73,35.42,39.04,22.96,45.35,monitor and screen after hazard-layer ingestion,disability; long commutes; housing cost burden; seasonal housing pressure,34.41,0.0,5.64,3.12,11.62,43.43,9.6,20.0,39.81,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Square Lake UT,Aroostook,2024,751,28.4,29.89,46.67,34.66,43.62,monitor and screen after hazard-layer ingestion,seasonal housing pressure; disability; older adults; long commutes,13.73,0.0,6.07,4.36,39.15,31.03,7.32,64.45,18.09,3.2,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
East Central Penobscot UT,Penobscot,2024,307,28.12,36.83,43.49,27.56,45.18,monitor and screen after hazard-layer ingestion,seasonal housing pressure; children/family demand; disability; long commutes,18.1,0.0,13.68,0.0,23.45,28.01,31.6,42.8,22.33,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Roxbury,Oxford,2024,352,28.05,37.69,42.78,26.69,47.44,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; disability; poverty,17.53,0.0,13.35,3.66,25.57,21.59,5.97,62.04,25.0,1.83,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
South Franklin UT,Franklin,2024,120,27.92,29.96,31.76,42.84,27.65,monitor and screen after hazard-layer ingestion,children/family demand; seasonal housing pressure; poverty; disability,7.14,0.0,13.33,0.0,20.0,15.0,46.67,34.88,0.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Stow,Oxford,2024,535,27.91,33.84,34.02,25.46,44.09,monitor and screen after hazard-layer ingestion,long commutes; older adults; seasonal housing pressure; children/family demand,16.51,20.0,8.08,0.42,37.94,11.39,15.7,20.59,38.52,1.26,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Springfield,Penobscot,2024,310,27.81,37.63,28.97,34.82,37.48,monitor and screen after hazard-layer ingestion,seasonal housing pressure; housing cost burden; children/family demand; long commutes,28.35,0.0,5.48,3.03,21.61,12.26,18.06,36.02,16.3,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Northwest Aroostook UT,Aroostook,2024,5,27.6,35.0,25.0,40.0,26.75,monitor and screen after hazard-layer ingestion,poverty; seasonal housing pressure; housing cost burden; renter cost burden,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Lakeville,Penobscot,2024,99,27.26,27.72,41.61,36.9,44.09,monitor and screen after hazard-layer ingestion,seasonal housing pressure; older adults; disability; long commutes,13.11,0.0,6.06,0.0,41.41,27.27,3.03,82.94,25.64,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Wade,Aroostook,2024,244,27.22,20.8,37.09,26.6,37.38,monitor and screen after hazard-layer ingestion,long commutes; older adults; disability; children/family demand,22.22,0.0,4.17,0.83,34.84,20.49,16.39,8.4,28.09,5.83,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Byron,Oxford,2024,174,26.9,37.4,46.86,20.44,55.42,monitor and screen after hazard-layer ingestion,seasonal housing pressure; disability; long commutes; poverty,17.39,0.0,14.94,0.0,14.37,32.76,1.15,64.79,30.61,10.11,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Medford,Piscataquis,2024,222,26.75,29.03,34.15,30.94,38.54,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; disability; poverty,14.17,0.0,11.26,0.76,20.72,18.47,3.15,24.88,23.24,0.76,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Sebec,Piscataquis,2024,547,26.62,34.92,34.66,26.58,46.06,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; children/family demand; disability,28.57,0.0,5.3,0.79,20.66,19.93,21.76,29.3,24.12,9.84,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Edinburg,Penobscot,2024,172,26.27,21.08,27.71,29.04,34.7,monitor and screen after hazard-layer ingestion,long commutes; disability; housing cost burden; children/family demand,26.39,0.0,1.74,0.0,23.84,18.6,17.44,8.54,44.12,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Carthage,Franklin,2024,845,26.26,20.65,24.16,39.21,26.46,monitor and screen after hazard-layer ingestion,seasonal housing pressure; disability; long commutes; children/family demand,12.5,0.0,3.55,5.78,10.65,16.8,13.14,17.63,14.48,1.02,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
East Central Franklin UT,Franklin,2024,1074,25.3,30.27,33.52,31.38,41.04,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; disability; older adults,16.26,0.0,6.05,1.5,27.0,20.86,15.55,33.64,23.61,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Lincoln,Oxford,2024,47,24.82,28.95,49.39,21.71,57.12,monitor and screen after hazard-layer ingestion,seasonal housing pressure; disability; long commutes; older adults,15.0,0.0,4.26,3.85,40.43,29.79,0.0,81.29,28.57,19.23,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Seboeis,Penobscot,2024,12,24.76,39.0,33.0,19.87,48.31,seasonal-market pressure and year-round housing review,older adults; seasonal housing pressure; long commutes; housing cost burden,40.0,0.0,0.0,0.0,66.67,8.33,0.0,85.96,66.67,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Sorrento,Hancock,2024,345,24.44,37.02,26.88,24.85,45.86,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; children/family demand; housing cost burden,23.88,4.76,5.8,2.82,22.61,9.28,19.42,49.67,44.71,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Central Aroostook UT,Aroostook,2024,268,24.07,32.89,31.18,25.83,46.2,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; disability; housing cost burden,29.79,0.0,0.0,0.0,29.48,22.39,17.91,53.9,36.69,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Unity UT,Kennebec,2024,36,23.05,5.72,46.75,16.73,40.82,monitor and screen after hazard-layer ingestion,long commutes; disability; older adults; zero-car households,0.0,0.0,0.0,14.29,38.89,30.56,11.11,0.0,64.29,14.29,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Caratunk,Somerset,2024,101,22.84,28.59,38.19,22.26,47.37,monitor and screen after hazard-layer ingestion,older adults; seasonal housing pressure; long commutes; disability,22.64,0.0,0.0,0.0,58.42,22.77,3.96,69.86,36.36,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Central Somerset UT,Somerset,2024,333,22.7,30.38,37.84,19.64,48.53,monitor and screen after hazard-layer ingestion,older adults; seasonal housing pressure; long commutes; disability,19.23,0.97,3.6,1.38,57.66,15.02,10.51,37.14,66.85,1.84,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
North Oxford UT,Oxford,2024,36,22.29,28.34,42.23,18.02,48.6,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; disability; poverty,0.0,0.0,16.67,0.0,22.22,27.78,19.44,94.52,57.14,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Maxfield,Penobscot,2024,76,21.15,27.86,28.46,23.36,44.07,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; disability; poverty,10.0,0.0,8.57,0.0,13.16,21.05,7.89,37.74,60.71,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
West Forks,Somerset,2024,125,20.68,28.28,21.98,25.32,36.21,monitor and screen after hazard-layer ingestion,seasonal housing pressure; children/family demand; long commutes; older adults,17.86,0.0,3.2,0.0,18.4,10.4,18.4,40.2,17.95,5.36,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Rangeley,Franklin,2024,81,20.29,15.01,50.0,22.04,44.75,monitor and screen after hazard-layer ingestion,older adults; disability; seasonal housing pressure; digital access gap,0.0,0.0,0.0,0.0,100.0,50.62,0.0,87.16,0.0,41.3,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Northwest Somerset UT,Somerset,2024,26,19.91,15.0,20.0,40.01,20.15,monitor and screen after hazard-layer ingestion,older adults; seasonal housing pressure; housing cost burden; renter cost burden,0.0,0.0,0.0,0.0,100.0,0.0,0.0,94.05,0.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Seboomook Lake UT,Somerset,2024,41,19.91,15.0,20.0,40.02,20.15,monitor and screen after hazard-layer ingestion,older adults; seasonal housing pressure; housing cost burden; renter cost burden,0.0,0.0,0.0,0.0,63.41,0.0,0.0,100.0,0.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Nashville,Aroostook,2024,12,19.11,15.0,40.0,24.33,44.55,monitor and screen after hazard-layer ingestion,older adults; disability; seasonal housing pressure; long commutes,0.0,0.0,0.0,0.0,50.0,50.0,0.0,40.91,45.45,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Dennistown,Somerset,2024,134,18.57,3.42,20.0,27.15,27.53,monitor and screen after hazard-layer ingestion,long commutes; children/family demand; older adults; disability,0.0,0.0,0.0,0.0,34.33,10.45,23.13,7.58,34.78,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
East Hancock UT,Hancock,2024,42,18.45,22.62,36.88,14.68,52.21,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; older adults; digital access gap,0.0,0.0,9.52,0.0,42.86,9.52,9.52,94.57,47.37,15.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Glenwood,Aroostook,2024,6,16.3,15.0,0.0,40.0,13.75,monitor and screen after hazard-layer ingestion,seasonal housing pressure; children/family demand; housing cost burden; renter cost burden,0.0,0.0,0.0,0.0,0.0,0.0,33.33,94.29,0.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Wyman UT,Franklin,2024,14,16.3,15.0,0.0,40.0,13.75,monitor and screen after hazard-layer ingestion,seasonal housing pressure; housing cost burden; renter cost burden; poverty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.7,0.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
North Franklin UT,Franklin,2024,13,10.62,15.0,0.0,19.7,30.37,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; housing cost burden; renter cost burden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.31,30.77,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
